Parcel_ID,Date,Depot_ID,Vehicle_Type,Service_Level,Weight_kg,Distance_km,Delivery_Status,Customer_Satisfaction_Score,CO2_Emissions_kg
PNL00000037,2025-02-08,D005,Electric Van,International,22.87,17.8,Delivered,2,0.0
PNL00000038,2025-01-18,D002,Electric Van,Next Day,14.98,15.8,Delivered,8,0.0
PNL00000039,2025-01-04,D005,Cargo Bike,Next Day,8.32,20.3,Delivered,8,0.0
PNL00000040,2025-03-30,D001,Electric Van,International,20.36,16.7,Delivered,5,0.0
PNL00000041,2025-03-01,D007,Diesel Van,Next Day,1.25,31.0,Delivered,3,4.6499999999999995
PNL00000042,2025-01-14,D004,Diesel Van,Next Day,17.09,14.7,Delivered,8,2.2049999999999996
PNL00000043,2025-01-09,D004,Large Truck,Standard,12.01,17.1,Delivered,5,14.535
PNL00000044,2025-03-31,D006,Diesel Van,Next Day,29.34,20.7,Delivered,3,3.105
PNL00000045,2025-02-22,D003,Electric Van,International,15.28,2.2,Delayed,9,0.0
PNL00000046,2025-01-02,D004,Diesel Van,Next Day,16.61,23.2,Delivered,9,3.48
PNL00000047,2025-03-25,D007,Cargo Bike,Standard,21.4,13.0,Delivered,7,0.0
PNL00000048,2025-03-01,D001,Large Truck,Next Day,14.59,4.4,Delivered,8,3.74
PNL00000049,2025-03-12,D003,Diesel Van,Next Day,6.81,41.2,Delivered,5,6.180000000000001
PNL00000050,2025-02-13,D002,Diesel Van,Next Day,16.16,15.9,Delivered,5,2.385
PNL00000051,2025-01-08,D007,Large Truck,Standard,28.33,20.3,Delivered,5,17.255
PNL00000052,2025-02-16,D007,Electric Van,International,12.36,37.6,Delivered,2,0.0
PNL00000053,2025-02-04,D004,Diesel Van,International,20.42,9.2,Delivered,3,1.38
PNL00000054,2025-03-19,D003,Diesel Van,Standard,29.34,38.6,Delivered,8,5.79
PNL00000055,2025-03-22,D001,Electric Van,Standard,24.91,12.4,Delivered,6,0.0
PNL00000056,2025-02-05,D006,Diesel Van,Next Day,19.81,27.3,Delivered,9,4.095
PNL00000057,2025-02-19,D005,Electric Van,International,22.11,31.5,Delivered,7,0.0
PNL00000058,2025-01-04,D005,Diesel Van,Standard,28.1,40.9,Delivered,6,6.135
PNL00000059,2025-01-02,D001,Large Truck,International,28.8,28.1,Delivered,4,23.885
PNL00000060,2025-01-06,D001,Electric Van,Next Day,29.07,21.5,Delivered,7,0.0
PNL00000061,2025-02-23,D005,Cargo Bike,Standard,18.81,26.6,Delivered,4,0.0
PNL00000062,2025-01-04,D006,Electric Van,International,11.6,10.7,Delivered,7,0.0
PNL00000063,2025-02-23,D003,Diesel Van,International,4.08,31.6,Delivered,5,4.74
PNL00000064,2025-03-04,D005,Electric Van,Next Day,11.63,10.0,Delivered,2,0.0
PNL00000065,2025-01-18,D001,Large Truck,Standard,28.29,26.0,Delivered,7,22.099999999999998
PNL00000066,2025-03-31,D004,Cargo Bike,International,26.7,29.8,Delivered,8,0.0
PNL00000067,2025-02-13,D002,Diesel Van,Next Day,15.76,40.6,Delivered,10,6.09
PNL00000068,2025-02-03,D006,Cargo Bike,International,16.16,21.4,Delivered,2,0.0
PNL00000069,2025-03-15,D007,Diesel Van,Next Day,9.34,35.3,Delivered,6,5.294999999999999
PNL00000070,2025-03-03,D006,Large Truck,International,13.69,9.2,Delivered,4,7.819999999999999
PNL00000071,2025-01-14,D004,Cargo Bike,International,21.46,8.7,Delivered,5,0.0
PNL00000072,2025-02-17,D004,Large Truck,Next Day,12.13,24.6,Delivered,1,20.91
PNL00000073,2025-01-15,D007,Diesel Van,Standard,5.72,27.6,Delivered,6,4.14
PNL00000074,2025-03-13,D001,Electric Van,Next Day,16.27,29.2,Delivered,8,0.0
PNL00000075,2025-03-19,D005,Diesel Van,Standard,6.84,34.1,Delivered,2,5.115
PNL00000076,2025-03-28,D003,Electric Van,International,29.23,14.7,Delivered,1,0.0
PNL00000077,2025-03-03,D006,Diesel Van,International,11.77,28.8,Delivered,9,4.32
PNL00000078,2025-02-09,D007,Diesel Van,Next Day,27.3,10.1,Delivered,2,1.515
PNL00000079,2025-03-26,D006,Diesel Van,Next Day,6.84,11.4,Delivered,8,1.71
PNL00000080,2025-03-21,D004,Electric Van,Standard,5.76,4.9,Delivered,5,0.0
PNL00000081,2025-03-23,D005,Electric Van,Standard,18.55,34.1,Delivered,2,0.0
PNL00000082,2025-02-22,D006,Diesel Van,Standard,23.4,23.8,Delivered,5,3.57
PNL00000083,2025-01-24,D003,Large Truck,Next Day,17.05,12.2,Delivered,9,10.37
PNL00000084,2025-01-26,D004,Diesel Van,International,6.97,25.9,Delivered,6,3.885
PNL00000085,2025-03-30,D003,Diesel Van,Next Day,1.23,17.2,Delivered,3,2.5799999999999996
PNL00000086,2025-03-01,D005,Cargo Bike,International,18.59,38.0,Delivered,8,0.0
PNL00000087,2025-02-10,D006,Diesel Van,Next Day,4.02,24.7,Delivered,1,3.7049999999999996
PNL00000088,2025-01-29,D002,Electric Van,Next Day,10.36,3.3,Delivered,9,0.0
PNL00000089,2025-01-15,D006,Diesel Van,Standard,20.31,44.4,Delivered,9,6.659999999999999
PNL00000090,2025-02-14,D005,Electric Van,International,3.03,5.2,Delivered,4,0.0
PNL00000091,2025-03-06,D006,Large Truck,Next Day,3.9,31.9,Delivered,8,27.115
PNL00000092,2025-03-30,D007,Electric Van,Next Day,1.94,20.8,Delivered,3,0.0
PNL00000093,2025-03-12,D006,Diesel Van,International,29.88,12.7,Delivered,6,1.9049999999999998
PNL00000094,2025-01-09,D001,Electric Van,Next Day,11.67,31.1,Delivered,10,0.0
PNL00000095,2025-03-29,D006,Electric Van,International,27.18,7.4,Delivered,10,0.0
PNL00000096,2025-01-01,D006,Cargo Bike,Standard,8.88,38.9,Delivered,8,0.0
PNL00000097,2025-01-08,D003,Electric Van,Standard,22.62,12.8,Delivered,9,0.0
PNL00000098,2025-03-29,D002,Electric Van,International,6.65,17.5,Delivered,8,0.0
PNL00000099,2025-03-04,D003,Diesel Van,Standard,15.0,29.2,Delivered,9,4.38
PNL00000100,2025-01-11,D003,Electric Van,International,24.76,2.0,Delivered,4,0.0
PNL00000101,2025-03-22,D004,Electric Van,Next Day,24.51,22.3,Delivered,10,0.0
PNL00000102,2025-01-08,D001,Cargo Bike,Next Day,23.85,40.5,Delayed,1,0.0
PNL00000103,2025-02-04,D003,Cargo Bike,International,24.73,31.3,Delivered,7,0.0
PNL00000104,2025-02-04,D007,Large Truck,Next Day,6.42,18.7,Delivered,10,15.895
PNL00000105,2025-02-02,D005,Cargo Bike,Standard,14.52,30.4,Delivered,4,0.0
PNL00000106,2025-01-05,D007,Diesel Van,Next Day,14.6,42.3,Delivered,1,6.345
PNL00000107,2025-02-10,D005,Electric Van,Next Day,26.73,10.1,Delivered,3,0.0
PNL00000108,2025-01-28,D006,Cargo Bike,International,8.98,24.9,Delivered,7,0.0
PNL00000109,2025-01-07,D004,Cargo Bike,Standard,27.95,12.1,Delivered,3,0.0
PNL00000110,2025-03-14,D001,Cargo Bike,Next Day,13.58,38.7,Delivered,1,0.0
PNL00000111,2025-03-13,D007,Diesel Van,Next Day,20.13,33.0,Delivered,7,4.95
PNL00000112,2025-01-12,D001,Electric Van,International,8.14,36.4,Delivered,8,0.0
PNL00000113,2025-02-03,D007,Cargo Bike,International,12.37,42.5,Delivered,5,0.0
PNL00000114,2025-02-02,D006,Cargo Bike,Standard,21.32,12.0,Delivered,6,0.0
PNL00000115,2025-02-17,D005,Large Truck,Next Day,15.43,4.1,Delivered,3,3.4849999999999994
PNL00000116,2025-01-23,D002,Electric Van,International,27.93,14.5,Delivered,5,0.0
PNL00000117,2025-03-03,D004,Electric Van,International,22.14,19.2,Delivered,3,0.0
PNL00000118,2025-03-29,D007,Electric Van,International,16.98,28.9,Delivered,2,0.0
PNL00000119,2025-02-06,D007,Cargo Bike,Standard,26.61,36.3,Delivered,7,0.0
PNL00000120,2025-02-13,D006,Electric Van,International,20.0,17.0,Delivered,10,0.0
PNL00000121,2025-03-27,D004,Electric Van,Standard,19.45,22.4,Delivered,7,0.0
PNL00000122,2025-02-04,D005,Large Truck,Standard,7.47,35.8,Delivered,8,30.429999999999996
PNL00000123,2025-03-06,D005,Electric Van,Next Day,11.91,11.7,Delivered,1,0.0
PNL00000124,2025-02-16,D007,Cargo Bike,Next Day,20.53,11.3,Delivered,2,0.0
PNL00000125,2025-03-19,D002,Diesel Van,Standard,26.76,27.3,Delivered,2,4.095
PNL00000126,2025-01-03,D002,Cargo Bike,Next Day,9.53,20.8,Delivered,3,0.0
PNL00000127,2025-01-01,D001,Diesel Van,Next Day,6.54,42.8,Delivered,7,6.419999999999999
PNL00000128,2025-01-05,D004,Large Truck,International,17.85,17.4,Delivered,7,14.79
PNL00000129,2025-03-31,D004,Large Truck,Next Day,2.11,34.7,Delayed,7,29.495
PNL00000130,2025-01-14,D005,Electric Van,Standard,21.46,27.1,Delivered,1,0.0
PNL00000131,2025-01-27,D001,Electric Van,Next Day,21.12,4.3,Delivered,2,0.0
PNL00000132,2025-01-09,D006,Electric Van,International,10.71,5.6,Delivered,8,0.0
PNL00000133,2025-03-20,D004,Diesel Van,Standard,26.79,10.7,Delivered,9,1.6049999999999998
PNL00000134,2025-01-15,D001,Cargo Bike,Next Day,15.12,8.2,Delayed,10,0.0
PNL00000135,2025-03-31,D001,Diesel Van,Standard,19.41,16.2,Delivered,7,2.4299999999999997
PNL00000136,2025-02-11,D007,Diesel Van,Next Day,6.37,26.9,Delivered,1,4.034999999999999
PNL00000137,2025-03-18,D005,Electric Van,International,12.58,27.9,Delivered,4,0.0
PNL00000138,2025-02-20,D001,Cargo Bike,Next Day,25.89,27.3,Delivered,10,0.0
PNL00000139,2025-03-04,D002,Large Truck,Standard,6.47,7.1,Delivered,8,6.034999999999999
PNL00000140,2025-02-21,D002,Electric Van,Standard,11.78,27.8,Delivered,5,0.0
PNL00000141,2025-01-04,D003,Diesel Van,Standard,9.61,19.6,Delivered,1,2.94
PNL00000142,2025-01-23,D005,Electric Van,Next Day,4.62,40.8,Delivered,7,0.0
PNL00000143,2025-01-15,D007,Diesel Van,Next Day,8.76,41.2,Delivered,6,6.180000000000001
PNL00000144,2025-02-12,D006,Diesel Van,Next Day,7.06,35.0,Delayed,9,5.25
PNL00000145,2025-01-29,D003,Electric Van,International,27.72,32.2,Delivered,4,0.0
PNL00000146,2025-02-05,D002,Diesel Van,International,22.26,6.9,Delivered,4,1.035
PNL00000147,2025-01-13,D007,Diesel Van,International,9.55,5.6,Delivered,8,0.84
PNL00000148,2025-02-01,D003,Diesel Van,Standard,22.92,38.2,Delivered,4,5.73
PNL00000149,2025-03-12,D005,Diesel Van,Standard,0.76,20.4,Delivered,3,3.0599999999999996
PNL00000150,2025-02-28,D007,Electric Van,Standard,15.84,21.4,Delivered,7,0.0
PNL00000151,2025-03-27,D005,Cargo Bike,Standard,7.59,38.5,Delivered,5,0.0
PNL00000152,2025-01-28,D001,Cargo Bike,Standard,3.52,28.7,Delivered,9,0.0
PNL00000153,2025-03-07,D004,Diesel Van,Next Day,26.52,9.7,Delivered,5,1.4549999999999998
PNL00000154,2025-02-11,D001,Electric Van,Standard,6.06,11.1,Delivered,9,0.0
PNL00000155,2025-02-14,D005,Cargo Bike,Next Day,24.69,2.3,Delivered,6,0.0
PNL00000156,2025-03-03,D007,Large Truck,International,12.46,32.6,Delivered,6,27.71
PNL00000157,2025-02-26,D002,Electric Van,International,0.53,22.9,Delivered,6,0.0
PNL00000158,2025-01-06,D006,Diesel Van,International,22.0,42.8,Delivered,7,6.419999999999999
PNL00000159,2025-01-28,D002,Electric Van,International,17.93,32.7,Delivered,4,0.0
PNL00000160,2025-01-28,D007,Diesel Van,International,10.39,6.4,Delivered,4,0.96
PNL00000161,2025-02-13,D001,Electric Van,Standard,8.52,8.9,Delivered,9,0.0
PNL00000162,2025-03-25,D006,Diesel Van,Standard,2.3,23.6,Delivered,7,3.54
PNL00000163,2025-01-30,D007,Diesel Van,Standard,28.25,41.8,Delivered,10,6.27
PNL00000164,2025-03-03,D005,Diesel Van,International,14.87,12.6,Delivered,6,1.89
PNL00000165,2025-03-16,D002,Diesel Van,International,2.66,37.5,Delivered,1,5.625
PNL00000166,2025-03-30,D005,Diesel Van,Next Day,26.07,15.4,Delivered,7,2.31
PNL00000167,2025-03-03,D006,Diesel Van,Standard,8.44,13.6,Delivered,6,2.04
PNL00000168,2025-01-01,D006,Electric Van,International,6.19,40.8,Delivered,4,0.0
PNL00000169,2025-01-27,D002,Electric Van,International,8.5,4.0,Delivered,8,0.0
PNL00000170,2025-03-03,D005,Cargo Bike,International,16.98,30.4,Delivered,7,0.0
PNL00000171,2025-03-18,D003,Electric Van,Next Day,2.31,3.9,Delivered,8,0.0
PNL00000172,2025-01-03,D005,Cargo Bike,International,14.5,36.4,Delivered,9,0.0
PNL00000173,2025-03-11,D006,Large Truck,Next Day,26.88,37.7,Delivered,1,32.045
PNL00000174,2025-03-13,D005,Electric Van,Next Day,5.73,40.4,Delivered,3,0.0
PNL00000175,2025-01-27,D007,Diesel Van,Standard,10.0,10.0,Delivered,2,1.5
PNL00000176,2025-01-09,D001,Diesel Van,International,11.94,7.4,Delivered,3,1.11
PNL00000177,2025-03-03,D003,Cargo Bike,Next Day,17.63,23.7,Delivered,2,0.0
PNL00000178,2025-02-06,D004,Large Truck,International,27.59,13.7,Delivered,6,11.645
PNL00000179,2025-02-20,D007,Cargo Bike,Standard,11.9,28.1,Delivered,9,0.0
PNL00000180,2025-02-13,D001,Electric Van,Standard,2.17,24.1,Delivered,2,0.0
PNL00000181,2025-01-24,D004,Diesel Van,Next Day,10.5,8.2,Delivered,4,1.2299999999999998
PNL00000182,2025-03-20,D002,Diesel Van,Standard,5.78,33.8,Delivered,5,5.069999999999999
PNL00000183,2025-02-28,D004,Diesel Van,Standard,19.59,36.6,Delivered,5,5.49
PNL00000184,2025-02-01,D007,Electric Van,Standard,0.97,43.4,Delivered,1,0.0
PNL00000185,2025-03-29,D005,Electric Van,International,8.83,19.0,Delivered,6,0.0
PNL00000186,2025-02-21,D007,Cargo Bike,International,16.4,16.5,Delivered,5,0.0
PNL00000187,2025-03-03,D004,Diesel Van,Next Day,8.39,10.3,Delivered,6,1.5450000000000002
PNL00000188,2025-02-27,D006,Diesel Van,Next Day,16.57,9.8,Delivered,4,1.47
PNL00000189,2025-02-21,D001,Diesel Van,Standard,3.53,15.8,Delivered,6,2.37
PNL00000190,2025-01-12,D001,Cargo Bike,Standard,28.29,44.2,Delivered,9,0.0
PNL00000191,2025-02-08,D004,Cargo Bike,Next Day,8.8,6.0,Delayed,1,0.0
PNL00000192,2025-01-02,D001,Electric Van,Standard,27.7,13.2,Delivered,6,0.0
PNL00000193,2025-01-03,D006,Electric Van,Next Day,9.84,5.7,Delivered,1,0.0
PNL00000194,2025-02-25,D007,Electric Van,International,23.48,13.8,Delivered,7,0.0
PNL00000195,2025-03-22,D001,Large Truck,Standard,7.46,6.0,Delivered,4,5.1
PNL00000196,2025-02-28,D004,Diesel Van,Standard,20.13,23.9,Delivered,6,3.5849999999999995
PNL00000197,2025-01-02,D003,Diesel Van,Standard,9.78,20.8,Delivered,7,3.12
PNL00000198,2025-01-02,D003,Diesel Van,International,15.32,9.5,Delivered,5,1.425
PNL00000199,2025-02-23,D002,Diesel Van,International,20.25,9.5,Delivered,9,1.425
PNL00000200,2025-03-28,D001,Cargo Bike,Standard,17.71,28.9,Delivered,8,0.0
PNL00000201,2025-01-01,D007,Diesel Van,Next Day,17.33,18.6,Delivered,3,2.79
PNL00000202,2025-01-19,D004,Electric Van,International,2.06,4.4,Delivered,1,0.0
PNL00000203,2025-01-02,D001,Electric Van,Standard,7.55,41.6,Delivered,10,0.0
PNL00000204,2025-02-22,D005,Diesel Van,Standard,17.2,19.4,Delivered,8,2.9099999999999997
PNL00000205,2025-02-13,D006,Large Truck,International,0.65,27.4,Delivered,4,23.29
PNL00000206,2025-03-31,D001,Diesel Van,Next Day,7.59,40.1,Delivered,7,6.015
PNL00000207,2025-02-01,D001,Cargo Bike,Standard,6.95,19.3,Delivered,4,0.0
PNL00000208,2025-03-11,D003,Cargo Bike,Next Day,7.57,37.3,Delivered,7,0.0
PNL00000209,2025-02-01,D006,Electric Van,Next Day,16.11,41.3,Delivered,1,0.0
PNL00000210,2025-03-09,D004,Electric Van,International,17.5,9.5,Delivered,1,0.0
PNL00000211,2025-02-24,D001,Electric Van,Standard,27.28,40.4,Delivered,2,0.0
PNL00000212,2025-03-16,D003,Cargo Bike,Standard,11.64,7.2,Delivered,5,0.0
PNL00000213,2025-02-25,D002,Electric Van,Next Day,27.8,13.8,Delivered,10,0.0
PNL00000214,2025-01-17,D006,Diesel Van,International,19.59,36.8,Delivered,6,5.52
PNL00000215,2025-02-07,D003,Diesel Van,International,27.39,40.7,Delivered,2,6.105
PNL00000216,2025-01-24,D003,Cargo Bike,International,25.02,31.4,Delivered,1,0.0
PNL00000217,2025-03-10,D007,Electric Van,Next Day,20.66,6.5,Delivered,9,0.0
PNL00000218,2025-03-11,D003,Diesel Van,Next Day,10.75,24.5,Delivered,7,3.675
PNL00000219,2025-03-27,D007,Diesel Van,Standard,7.31,26.6,Delivered,8,3.99
PNL00000220,2025-01-11,D001,Diesel Van,International,6.75,14.1,Delivered,6,2.1149999999999998
PNL00000221,2025-01-16,D001,Cargo Bike,Next Day,28.57,44.6,Delivered,9,0.0
PNL00000222,2025-03-14,D002,Electric Van,International,28.76,16.4,Delivered,8,0.0
PNL00000223,2025-02-28,D005,Cargo Bike,Next Day,21.77,11.0,Delivered,4,0.0
PNL00000224,2025-03-11,D005,Diesel Van,Standard,26.53,6.7,Failed-Address,5,1.005
PNL00000225,2025-03-21,D005,Diesel Van,International,27.58,18.3,Delivered,2,2.745
PNL00000226,2025-01-03,D007,Diesel Van,Next Day,15.4,31.8,Delivered,1,4.77
PNL00000227,2025-01-20,D006,Diesel Van,International,18.91,12.0,Delivered,6,1.7999999999999998
PNL00000228,2025-02-28,D006,Electric Van,Next Day,12.62,35.1,Delivered,3,0.0
PNL00000229,2025-02-05,D002,Diesel Van,Next Day,12.61,7.8,Delivered,4,1.17
PNL00000230,2025-01-19,D006,Diesel Van,Next Day,1.25,20.9,Delayed,1,3.135
PNL00000231,2025-03-31,D005,Diesel Van,International,13.07,32.2,Delivered,6,4.83
PNL00000232,2025-03-08,D005,Diesel Van,Next Day,20.24,7.8,Delivered,8,1.17
PNL00000233,2025-01-19,D003,Large Truck,Standard,12.72,27.7,Delivered,10,23.544999999999998
PNL00000234,2025-01-20,D006,Diesel Van,International,26.19,36.4,Delivered,4,5.46
PNL00000235,2025-03-12,D001,Electric Van,Standard,10.04,27.6,Delivered,10,0.0
PNL00000236,2025-02-21,D001,Diesel Van,Standard,4.07,24.0,Delivered,8,3.5999999999999996
PNL00000237,2025-02-02,D003,Cargo Bike,International,24.37,38.0,Delivered,10,0.0
PNL00000238,2025-02-09,D003,Cargo Bike,Next Day,20.25,44.4,Delivered,3,0.0
PNL00000239,2025-02-08,D003,Diesel Van,Standard,7.33,9.8,Delivered,7,1.47
PNL00000240,2025-03-23,D001,Cargo Bike,International,16.14,31.7,Delivered,3,0.0
PNL00000241,2025-01-01,D005,Electric Van,Next Day,12.12,5.5,Delivered,6,0.0
PNL00000242,2025-01-11,D003,Diesel Van,International,28.17,3.8,Delayed,4,0.57
PNL00000243,2025-02-26,D002,Cargo Bike,International,18.26,14.1,Delivered,6,0.0
PNL00000244,2025-03-30,D007,Cargo Bike,International,4.84,43.7,Delivered,7,0.0
PNL00000245,2025-02-19,D003,Diesel Van,Next Day,15.11,25.7,Delivered,8,3.8549999999999995
PNL00000246,2025-01-23,D007,Cargo Bike,Standard,25.89,13.5,Delivered,6,0.0
PNL00000247,2025-01-31,D004,Electric Van,Standard,20.18,7.7,Delivered,4,0.0
PNL00000248,2025-02-11,D003,Cargo Bike,International,25.29,41.6,Delivered,9,0.0
PNL00000249,2025-01-07,D001,Diesel Van,International,7.59,17.6,Delivered,7,2.64
PNL00000250,2025-01-16,D006,Electric Van,Next Day,26.66,15.2,Delivered,9,0.0
PNL00000251,2025-03-31,D003,Electric Van,International,22.69,38.9,Delivered,3,0.0
PNL00000252,2025-03-01,D006,Diesel Van,International,21.89,28.0,Delivered,5,4.2
PNL00000253,2025-01-02,D004,Electric Van,International,10.46,9.3,Delivered,1,0.0
PNL00000254,2025-01-01,D002,Diesel Van,Standard,26.64,20.1,Delivered,8,3.015
PNL00000255,2025-02-17,D006,Electric Van,International,19.18,41.9,Delivered,1,0.0
PNL00000256,2025-01-12,D007,Electric Van,Standard,25.57,40.8,Delivered,1,0.0
PNL00000257,2025-03-10,D005,Diesel Van,Next Day,10.89,5.0,Delivered,7,0.75
PNL00000258,2025-02-06,D003,Diesel Van,Next Day,4.45,13.6,Delivered,8,2.04
PNL00000259,2025-02-01,D004,Diesel Van,Standard,10.04,8.6,Delivered,3,1.2899999999999998
PNL00000260,2025-01-09,D004,Cargo Bike,Standard,13.71,25.0,Delivered,2,0.0
PNL00000261,2025-01-19,D006,Cargo Bike,Standard,16.05,34.2,Delivered,7,0.0
PNL00000262,2025-02-17,D002,Cargo Bike,Standard,15.37,14.7,Delivered,10,0.0
PNL00000263,2025-03-21,D001,Diesel Van,International,16.43,34.6,Delivered,5,5.19
PNL00000264,2025-01-03,D003,Cargo Bike,Standard,25.27,30.8,Delivered,1,0.0
PNL00000265,2025-01-20,D004,Electric Van,Standard,5.19,33.3,Delivered,2,0.0
PNL00000266,2025-01-24,D002,Electric Van,Standard,9.55,42.8,Delivered,3,0.0
PNL00000267,2025-02-23,D005,Diesel Van,International,26.67,20.3,Delivered,6,3.045
PNL00000268,2025-02-02,D004,Cargo Bike,International,16.86,16.7,Delivered,1,0.0
PNL00000269,2025-01-24,D002,Electric Van,International,17.54,31.4,Delivered,8,0.0
PNL00000270,2025-03-16,D001,Electric Van,Next Day,14.39,36.7,Delivered,2,0.0
PNL00000271,2025-03-13,D001,Electric Van,International,16.51,10.2,Delivered,5,0.0
PNL00000272,2025-02-05,D004,Cargo Bike,Standard,6.02,38.4,Delivered,8,0.0
PNL00000273,2025-02-07,D007,Diesel Van,International,16.45,4.5,Delivered,5,0.6749999999999999
PNL00000274,2025-03-25,D004,Electric Van,International,29.92,2.3,Delivered,8,0.0
PNL00000275,2025-03-30,D006,Diesel Van,Standard,17.02,8.8,Delivered,6,1.32
PNL00000276,2025-01-25,D003,Diesel Van,International,1.43,44.1,Delivered,7,6.615
PNL00000277,2025-01-18,D002,Diesel Van,Next Day,23.91,24.5,Delivered,8,3.675
PNL00000278,2025-03-23,D004,Electric Van,International,11.95,4.0,Delivered,3,0.0
PNL00000279,2025-03-07,D003,Cargo Bike,Next Day,4.69,44.9,Delivered,5,0.0
PNL00000280,2025-02-23,D006,Diesel Van,Next Day,25.89,34.0,Delivered,10,5.1
PNL00000281,2025-02-04,D003,Diesel Van,Next Day,6.02,38.0,Delivered,7,5.7
PNL00000282,2025-03-21,D004,Electric Van,Standard,27.63,11.2,Delivered,9,0.0
PNL00000283,2025-03-02,D001,Diesel Van,International,13.31,6.5,Delivered,6,0.975
PNL00000284,2025-02-10,D002,Diesel Van,Next Day,22.31,24.1,Delivered,10,3.615
PNL00000285,2025-02-02,D002,Diesel Van,Next Day,16.46,35.2,Delivered,1,5.28
PNL00000286,2025-03-09,D001,Electric Van,International,7.77,29.4,Delivered,8,0.0
PNL00000287,2025-02-02,D007,Cargo Bike,Standard,20.17,29.1,Delivered,6,0.0
PNL00000288,2025-01-14,D004,Electric Van,Standard,28.74,34.6,Delivered,1,0.0
PNL00000289,2025-01-21,D002,Diesel Van,Next Day,23.11,11.8,Delivered,4,1.77
PNL00000290,2025-02-17,D004,Cargo Bike,Standard,18.16,30.4,Delivered,6,0.0
PNL00000291,2025-01-20,D006,Diesel Van,International,29.72,18.9,Delivered,10,2.8349999999999995
PNL00000292,2025-01-08,D004,Cargo Bike,Standard,8.03,5.0,Delivered,1,0.0
